state,variable,gender,value,remark
Pulau Pinang,islam,male,409441,Religion
Pulau Pinang,christianity,male,34896,Religion
Pulau Pinang,buddhism,male,334863,Religion
Pulau Pinang,hinduism,male,77804,Religion
Pulau Pinang,others,male,20969,Religion
Pulau Pinang,others,male,5606,Religion
Pulau Pinang,others,male,8975,Religion
Perak,total,female,1195803,Religion
Perak,islam,female,708054,Religion
Perak,christianity,female,40152,Religion
Perak,buddhism,female,296969,Religion
Perak,hinduism,female,120189,Religion
Perak,others,female,14906,Religion
Perak,others,female,15508,Religion
Perak,others,female,25,Religion
Perak,total,male,1300238,Religion
Perak,islam,male,735979,Religion
Perak,christianity,male,35434,Religion
Perak,buddhism,male,305942,Religion
Perak,hinduism,male,121649,Religion
Perak,others,male,16363,Religion
Perak,others,male,17207,Religion
Perak,others,male,67664,Religion
Perlis,total,female,142540,Religion
Perlis,islam,female,125646,Religion
Perlis,christianity,female,783,Religion
Perlis,buddhism,female,12846,Religion
Perlis,hinduism,female,1772,Religion
Perlis,others,female,247,Religion
Perlis,others,female,37,Religion
Perlis,others,female,1209,Religion
Perlis,total,male,142345,Religion
Perlis,islam,male,124483,Religion
Perlis,christianity,male,887,Religion
Perlis,buddhism,male,13353,Religion
Perlis,hinduism,male,1847,Religion
Perlis,others,male,278,Religion
Perlis,others,male,34,Religion
Perlis,others,male,1463,Religion
Selangor,total,female,3283668,Religion
Selangor,islam,female,2002853,Religion
Selangor,christianity,female,168925,Religion
Selangor,buddhism,female,724959,Religion
Selangor,hinduism,female,322290,Religion
Selangor,others,female,42135,Religion
Selangor,others,female,20660,Religion
Selangor,others,female,1846,Religion
Selangor,total,male,3710755,Religion
Selangor,islam,male,2270871,Religion
Selangor,christianity,male,175157,Religion
Selangor,buddhism,male,787595,Religion
Selangor,hinduism,male,398800,Religion
Selangor,others,male,45752,Religion
Selangor,others,male,27388,Religion
Selangor,others,male,5192,Religion
Terengganu,total,female,561575,Religion
Terengganu,islam,female,548497,Religion
Terengganu,christianity,female,1249,Religion
Terengganu,buddhism,female,10484,Religion
Terengganu,hinduism,female,922,Religion
Terengganu,others,female,193,Religion
Terengganu,others,female,81,Religion
Terengganu,others,female,149,Religion
Terengganu,total,male,587865,Religion
Terengganu,islam,male,570267,Religion
Terengganu,christianity,male,1679,Religion
Terengganu,buddhism,male,12898,Religion
Terengganu,hinduism,male,1881,Religion
Terengganu,others,male,228,Religion
Terengganu,others,male,175,Religion
Terengganu,others,male,737,Religion
Sabah,total,female,1638979,Religion
Sabah,islam,female,1135957,Religion
Sabah,christianity,female,411901,Religion
Sabah,buddhism,female,81525,Religion
Sabah,hinduism,female,2160,Religion
Sabah,others,female,1689,Religion
Sabah,others,female,4572,Religion
Sabah,others,female,1175,Religion
Sabah,total,male,1779806,Religion
Sabah,islam,male,1243259,Religion
Sabah,christianity,male,431833,Religion
Sabah,buddhism,male,91716,Religion
Sabah,hinduism,male,2788,Religion
Sabah,others,male,2083,Religion
Sabah,others,male,5728,Religion
Sabah,others,male,2399,Religion
Sarawak,total,female,1184116,Religion
Sarawak,islam,female,398636,Religion
Sarawak,christianity,female,605116,Religion
Sarawak,buddhism,female,151256,Religion
Sarawak,hinduism,female,1460,Religion
Sarawak,others,female,6486,Religion
Sarawak,others,female,17352,Religion
Sarawak,others,female,3810,Religion
Sarawak,total,male,1269561,Religion
Sarawak,islam,male,439919,Religion
Sarawak,christianity,male,624537,Religion
Sarawak,buddhism,male,163423,Religion
Sarawak,hinduism,male,1961,Religion
Sarawak,others,male,6923,Religion
Sarawak,others,male,20037,Religion
Sarawak,others,male,12761,Religion
W.P. Kuala Lumpur,total,female,923206,Religion
W.P. Kuala Lumpur,islam,female,439300,Religion
W.P. Kuala Lumpur,christianity,female,64876,Religion
W.P. Kuala Lumpur,buddhism,female,312993,Religion
W.P. Kuala Lumpur,hinduism,female,77919,Religion
W.P. Kuala Lumpur,others,female,17086,Religion
W.P. Kuala Lumpur,others,female,8359,Religion
W.P. Kuala Lumpur,others,female,2673,Religion
W.P. Kuala Lumpur,total,male,1058906,Religion
W.P. Kuala Lumpur,islam,male,458337,Religion
W.P. Kuala Lumpur,christianity,male,62819,Religion
W.P. Kuala Lumpur,buddhism,male,326626,Religion
W.P. Kuala Lumpur,hinduism,male,85007,Religion
W.P. Kuala Lumpur,others,male,17959,Religion
W.P. Kuala Lumpur,others,male,9949,Religion
W.P. Kuala Lumpur,others,male,98209,Religion
W.P. Labuan,total,female,46230,Religion
W.P. Labuan,islam,female,34961,Religion
W.P. Labuan,christianity,female,6507,Religion
W.P. Labuan,buddhism,female,4331,Religion
W.P. Labuan,hinduism,female,308,Religion
W.P. Labuan,others,female,96,Religion
W.P. Labuan,others,female,27,Religion
W.P. Labuan,others,female,0,Religion
W.P. Labuan,total,male,48890,Religion
W.P. Labuan,islam,male,38499,Religion
W.P. Labuan,christianity,male,6611,Religion
W.P. Labuan,buddhism,male,3345,Religion
W.P. Labuan,hinduism,male,304,Religion
W.P. Labuan,others,male,92,Religion
W.P. Labuan,others,male,39,Religion
W.P. Labuan,others,male,0,Religion
W.P. Putrajaya,total,female,55628,Religion
W.P. Putrajaya,islam,female,54257,Religion
W.P. Putrajaya,christianity,female,472,Religion
W.P. Putrajaya,buddhism,female,268,Religion
W.P. Putrajaya,hinduism,female,535,Religion
W.P. Putrajaya,others,female,40,Religion
W.P. Putrajaya,others,female,38,Religion
W.P. Putrajaya,others,female,18,Religion
W.P. Putrajaya,total,male,53574,Religion
W.P. Putrajaya,islam,male,51875,Religion
W.P. Putrajaya,christianity,male,408,Religion
W.P. Putrajaya,buddhism,male,265,Religion
W.P. Putrajaya,hinduism,male,617,Religion
W.P. Putrajaya,others,male,58,Religion
W.P. Putrajaya,others,male,31,Religion
W.P. Putrajaya,others,male,320,Religion
